OBJECTID_1,OBJECTID,LOCALIDAD,ORGANIZACI,TIPO_DE_OR,NOMBRE_ENT,ESTADO,DIRECCION,Nomenclatu,TELEFONO,CELULAR,BARRIO,EMAIL,ID_DISCIPL,DESCRIPCIO,UPlCodigo,UPlNombre,LocNombre,LocCodigo
"174","174",Barrios Unidos,Deportiva,Ligas,LIGA DE AJEDREZ DE SANTA FE DE BOGOTA,A,Av. 68 Calle 63 Unidad Deportiva El Salitre,AV 68  63 - 00 Unidad Deportiva El Salitre,"6968165","3103091236",SAN FERNANDO OCCIDENTAL,ajedrezbogota@hotmail.com,"3",Ajedrez,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"175","175",Puente Aranda,Deportiva,Ligas,LIGA DEPORTIVA DE SEPAK TAKRAW DE BOGOTA,I,Carrera 32B No.2-65,KR 32B  2-65,"2478800",N.D.,N.D.,ligatakrawbogota@starmedia.com,"1",Actividades Subacuaticas,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"176","176",Engativá,Deportiva,Clubes,CLUB ATLETICO MASTER RENACER,I,Carrera 73A No.74-28,KR 73A  74-28,"4305718",N.D.,SANTA MARIA I y II SECTOR,NA,"1",Actividades Subacuaticas,UPZ30,BOYACA REAL,ENGATIVA,"10"
"177","177",Santa Fe,Deportiva,Clubes,CLUB ESCOLAR DEPORTIVO ROCHESTER,A,Carrera 5 No 33B 80,KR 5  33B 80,"2723713","3114589386",LA MERCED,JIM_DP@HOTMAIL.COM,"59",No Obra,UPZ92,LA MACARENA,SANTA FE,"03"
"178","178",Tunjuelito,Deportiva,Clubes,CLUB DEPORTIVO ESBAE,I,Calle 63 Sur No 75A 23,CL 63 Sur  75A 23,"4618716","3138733451",RINCON DE GALICIA,ESBAECLUB@YAHOO.COM,"1",Actividades Subacuaticas,UPZ69,ISMAEL PERDOMO,CIUDAD BOLIVAR,"19"
"179","179",Usaquén,Deportiva,Clubes,CLUB MONAGUILLOS,A,Calle 100 No 19A 67 Of 405,CL 100  19A 67 Of 405,"2365919","3144865615",SANTA BIBIANA,efrainpachon@hotmail.com,"35",Futbol,UPZ97,CHICO LAGO,CHAPINERO,"02"
"180","180",Barrios Unidos,Deportiva,Ligas,LIGA DE BALONCESTO DE SANTA FE DE BOGOTA,A,Av.  68 Calle 63 U.D. El Salitre,AV  68 CL 63 U.D. El Salitre,"2407691","3209043718",SAN FERNANDO OCCIDENTAL,LIGABALONSESTOBOGOTA@GMAIL.COM,"12",Baloncesto,UPZ26,LAS FERIAS,ENGATIVA,"10"
"181","181",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO ORGANIZACIÃ“N SANITAS INTERNACIONAL OSI,C,Calle 100 No 11B - 67 Piso 5,CL 100  11B - 67 Piso 5,"6466060","3204460018",ESCUELA DE INFANTERIA,fjaramil@colsanitas.com,"1",Actividades Subacuaticas,UPZ97,CHICO LAGO,CHAPINERO,"02"
"182","182",Engativá,Deportiva,Clubes,CLUB DEPORTIVO ZEPPELIN RUGBY CLUB,A,Carrera 31D No.1C-91,KR 31D  1C-91,"3700220","3114853399",N.D.,zeppelinrc@gmail.com,"1",Actividades Subacuaticas,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"183","183",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO CHELSEA FC,A,Calle 40F SUR No 74D 03,CL 40F SUR  74D 03,"2658696","3132107244",CIUDAD KENNEDY SUR,CLUBCHELSEAFC@YAHOO.COM,"35",Futbol,UPZ48,TIMIZA,KENNEDY,"08"
"184","184",Suba,Deportiva,Ligas,LIGA DE BADMINTON DE BOGOTA,A,Calle 99A No 68B 46,CL 99A  68B 46,"2119340","3163404078",JULIO FLOREZ,lidbad2015@gmail.com,"10",Badminton,UPZ25,LA FLORESTA,SUBA,"11"
"185","185",Engativá,Deportiva,Clubes,CLUB DEPORTIVO PROYECTO PIES,A,Carrera 86 No 86 50 Torre 5 Apto 419,KR 86  86 50 Torre 5 Apto 419,"4382839","3125699034",LOS CEREZOS,PROYECTOPIESFC2004@YAHOO.ES,"1",Actividades Subacuaticas,UPZ29,MINUTO DE DIOS,ENGATIVA,"10"
"186","186",Chapinero,Deportiva,Ligas,LIGA DE SQUASH DE BOGOTA LISBOG,A,Carrera 15 No 85 76 Of 501,KR 15  85 76 Of 501,"2181529","3114912235",LA CABRERA,LISBOG2011GMAIL.COM,"71",Squash,UPZ97,CHICO LAGO,CHAPINERO,"02"
"187","187",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO DE NATACION GURAMI CLUB,A,Carrera 17B No.181 D-40 Apto 405,KR 17B  181 D-40 Apto 405,"6788086","3112818721",TARDES DE SAN JOSE,guramiclub@hotmail.com,"1",Actividades Subacuaticas,UPZ9,VERBENAL,USAQUEN,"01"
"188","188",Ciudad Bolívar,Deportiva,Clubes,CLUB DEPORTIVO MARACANEIROS,A,Calle 67 No 20B 24 Sur,CL 67  20B 24 Sur,"2432757","3132551071",JUAN JOSE RONDON,ALEJOFUTBOL22@HOTMAIL.COM,"35",Futbol,UPZ66,SAN FRANCISCO,CIUDAD BOLIVAR,"19"
"189","189",Antonio Nariño,Deportiva,Clubes,CLUB DEPORTIVO SCORPTIVA,I,Carrera 31 No 14B 57 Sur,KR 31  14B 57 Sur,"70207049",N.D.,LA FRAGUA,NA,"1",Actividades Subacuaticas,UPZ38,RESTREPO,ANTONIO NARIÑO,"15"
"190","190",Teusaquillo,Deportiva,Ligas,LIGA DEPORTIVA PARA LA DISCAPACIDAD COGNITIVA DE BOGOTA,A,Transversal 27A No 53B 67,TV 27A  53B 67,"2553528","3153064745",SAN LUIS,LIDECOBOG@GMAIL.COM,"27",Disc. Cognitiva,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"191","191",Tunjuelito,Deportiva,Clubes,CLUB DE FUTBOL AMERICANINOS,I,Transversal 49 No.59C-73 sur,TV 49  59C-73 sur,"7173791","3208396863",ATLANTA,LFELIPEJS@GMAIL.COM,"1",Actividades Subacuaticas,UPZ65,ARBORIZADORA,CIUDAD BOLIVAR,"19"
"192","192",Engativá,Deportiva,Clubes,CLUB DEPORTIVO FIGURAS,A,Carrera 73 No. 51- 14,KR 73   51- 14,"5479611","3212777542",NORMANDIA OCCIDENTAL,clubfiguras2014@gmail.com,"38",Gimnasia,UPZ31,SANTA CECILIA,ENGATIVA,"10"
"193","193",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO ARCANGELES,I,Calle 106 No.17 A-43,CL 106  17 A-43,"6297077",N.D.,SAN PATRICIO,juansalazar@fundacionarcangeles.com,"1",Actividades Subacuaticas,UPZ16,SANTA BARBARA,USAQUEN,"01"
"194","194",Suba,Deportiva,Clubes,CLUB DEPORTIVO CAPITALS BOGOTA,A,Carrera 71C No. 122 - 43 Urbanizacion Niza Antigua,KR 71C   122 - 43 Urbanizacion Niza Antigua,"3600742","3143336267",NIZA SUR,presidencia@clubcapitals.com,"12",Baloncesto,UPZ24,NIZA,SUBA,"11"
"195","195",Suba,Deportiva,Clubes,XSPEED RACING CLUB,A,Avenida Boyaca No.98-54,AV Boyaca  98-54,"2539857","3118208234",POTOSI,xspeedracingteam@yahoo.com,"9",Automovilismo,UPZ25,LA FLORESTA,SUBA,"11"
"196","196",Suba,Deportiva,Clubes,CLUB DEPORTIVO FEDESUBA,A,Calle 150 A No.92-20 casa 2,CL 150 A  92-20 casa 2,"6839491","3118958988",BOSQUES DE SAN JORGE,clubfedesuba@gmail.com,"36",Futbol De Salon,UPZ27,SUBA,SUBA,"11"
"197","197",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO FAIR PLAY,A,Carrera 15 No. 124-91 oficina 507,KR 15   124-91 oficina 507,"5203201",N.D.,SANTA BARBARA OCCIDENTAL,gerencia@cdfairplay.com,"35",Futbol,UPZ16,SANTA BARBARA,USAQUEN,"01"
"198","198",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO SUBACUATIC BOGOTA CLUB,A,Carrera 27 No.53 A-53 Piso 4,KR 27  53 A-53 Piso 4,"2487029","313817559",GALERIAS,fernandocaballerocastillo@hotmail.com,"1",Actividades Subacuaticas,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"199","199",Engativá,Deportiva,Clubes,CLUB DEPORTIVO NUEVA VIDA,A,Carrera 101 No.69-35 Int 2 apto 201,KR 101  69-35 Int 2 apto 201,"6046665","3142582885",VILLA DEL MAR TIERRAGRATA,nuevavida_8@yahoo.es,"35",Futbol,UPZ73,GARCES NAVAS,ENGATIVA,"10"
"200","200",Suba,Deportiva,Clubes,CLUB DEPORTIVO CLASICC,A,Calle 127 A No.53A-48 Oficina 115 Int 5 Niza IX,CL 127 A  53A-48 Oficina 115 Int 5 Niza IX,"6179041","3132553934",PRADO VERANIEGO SUR,rossy_55_1@hotmail.com,"14",Baseball,UPZ19,EL PRADO,SUBA,"11"
"201","201",Usaquén,Deportiva,Clubes,CLUB DE NATACIÃ“N TRITÃ“N BOGOTA,A,Calle 181 C No.13-91 Int 7 Apto 602,CL 181 C  13-91 Int 7 Apto 602,"8138374","3133748264",SAN JOSE DE USAQUEN,clubtritonbogota@gmail.com,"57",Natacion,UPZ9,VERBENAL,USAQUEN,"01"
"202","202",Tunjuelito,Deportiva,Clubes,CLUB DEPORTIVO TALENTOS DE BOGOTA,A,Calle 59 A Sur No 74 04,CL 59 A Sur  74 04,"7192708","3158261642",LA ESTANCIA,TALENTOSDEBOGOTA414@HOTMAIL.COM,"1",Actividades Subacuaticas,UPZ69,ISMAEL PERDOMO,CIUDAD BOLIVAR,"19"
"203","203",Engativá,Deportiva,Clubes,CLUB DEPORTIVO A PLENO TENIS,A,Calle 66 No 113B 51 Of 072,CL 66  113B 51 Of 072,"2275471","3107510635",VILLA GLADIS,aplenotenis@gmail.com,"77",Tenis,UPZ74,ENGATIVA,ENGATIVA,"10"
"204","204",Engativá,Deportiva,Clubes,CLUB ATLÃ‰TICO ORLANDO GUERRERO PARQUE SAN ANDRÃ‰S,A,Calle 77C No 101 83,CL 77C  101 83,"4346524","3124624810",BOCHICA,anez041158@gmail.com,"6",Atletismo,UPZ73,GARCES NAVAS,ENGATIVA,"10"
"205","205",Kennedy,Deportiva,Clubes,REAL MADRID FÃšTBOL CLUB,A,Calle 9 D No.69 B-80 Int 5 Apto 308,CL 9 D  69 B-80 Int 5 Apto 308,"2951945","3103419028",LOS PINOS DE MARCELLA,hebertocarrillo@hotmail.com,"35",Futbol,UPZ113,BAVARIA,KENNEDY,"08"
"206","206",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO DE NATACION Y CLAVADOS DE BOGOTA,A,Calle 70A No.14A-30,CL 70A  14A-30,"2173219","3002117072",CONCEPCION NORTE,clubdenatacionyclavadosbogota@hotmail.com,"57",Natacion,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"207","207",Suba,Deportiva,Clubes,CLUB DEPORTIVO LA TRINITARIA,A,Carrera 100 No 137B 08,KR 100  137B 08,"8020976",N.D.,LA CHUCUA LA TRINITARIA,clubdeportivo.latrinitaria@gmail.com,"1",Actividades Subacuaticas,UPZ28,EL RINCON,SUBA,"11"
"208","208",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO LLOYDS,C,Carrera 11 No 94 71 local 2,KR 11  94 71 local 2,"6055757",N.D.,CHICO RESERVADO,NA,"1",Actividades Subacuaticas,UPZ97,CHICO LAGO,CHAPINERO,"02"
"209","209",Teusaquillo,Deportiva,Ligas,LIGA DE BALONMANO DE BOGOTA,A,Coliseo El Campin,KR 30 62 - 90,"2119340",N.D.,CAMIN OCCIDENTAL,balonmanobogota@gmail.com,"13",Balonmano,UPZ106,LA ESMERALDA,TEUSAQUILLO,"13"
"210","210",Suba,Deportiva,Clubes,CLUB DEPORTIVO ESTRELLAS DE SUBA,A,Calle 130D No 124 36,CL 130D  124 36,"5362962","3132483145",TIBABUYES,EPESTRELLASSUBA@HOTMAIL.COM,"56",Multidisciplinas,UPZ71,TIBABUYES,SUBA,"11"
"211","211",Rafael Uribe Uribe,Deportiva,Clubes,CLUB DEPORTIVO DE FISICOCULTURISMO ELITE,A,Calle 37 A No.52-61 sur,CL 37 A  52-61 sur,"7416399","3144603463",ALQUERIA,carlosjulio55@hotmail.com,"34",Fisicoculturismo,UPZ45,CARVAJAL,KENNEDY,"08"
"212","212",Suba,Deportiva,Clubes,GOLF CLUB POPULAR FONTANAR,A,Carrera 129B No 139 50,KR 129B  139 50,"5374230","3166072028",SABANA DE TIBABUYES,HEMUR2008@YAHOO.ES,"39",Golf,UPZ71,TIBABUYES,SUBA,"11"
"213","213",Engativá,Deportiva,Clubes,CLUB DEPORTIVO TIGRE FUTBOL CLUB,A,Diagonal 89A No 115 50 Int 1,DG 89A  115 50 Int 1,"8042096",N.D.,CIUDADELA COLSUBSIDIO,TIGRE.F.C@HOTMAIL.COM,"35",Futbol,UPZ72,BOLIVIA,ENGATIVA,"10"
"214","214",Suba,Deportiva,Clubes,CLUB DEPORTIVO GRANADA NORTE JK,I,Carrera 45 A No.168-20,KR 45 A  168-20,"5263024","3112754993",GRANADA NORTE,clubgranadanorte@gmail.com,"1",Actividades Subacuaticas,UPZ18,BRITALIA,SUBA,"11"
"215","215",Kennedy,Deportiva,Ligas,LIGA DE KICK BOXING DE BOGOTA,A,Carrera 72 No.57 H-38 SUR,KR 72  57 H-38 SUR,"7190403","3133934878",OLARTE,edukickboxer@hotmail.com,"48",Kickboxing,UPZ49,APOGEO,BOSA,"07"
"216","216",Fontibón,Deportiva,Clubes,CLUB DEPORTIVO VALENSA HERMANOS,A,Calle 24 No.69 A-09 local 2,CL 24  69 A-09 local 2,N.D.,"3214680787",CIUDAD SALITRE,lufertape@hotmail.com,"59",No Obra,UPZ110,CIUDAD SALITRE OCCIDENTAL,FONTIBON,"09"
"217","217",Los Mártires,Deportiva,Clubes,CLUB DEPORTIVO GRUPO DINAMICO,A,Calle 18 No.12-19,CL 18  12-19,"3417249","3108562187",LA CAPUCHINA,clubdeportivodinamico@yahoo.com,"35",Futbol,UPZ93,LAS NIEVES,SANTA FE,"03"
"218","218",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO BOGOTA POLO ACUATICO,A,Carrera 65 No.98-40,KR 65  98-40,"4871153","3013806240",LOS ANDES,clubbogotapoloacuatico@gmail.com,"1",Actividades Subacuaticas,UPZ21,LOS ANDES,BARRIOS UNIDOS,"12"
"219","219",Suba,Deportiva,Clubes,CLUB DEPORTIVO ESTRELLAS DE COMPARTIR,A,Calle 151 C No.117-56 Apto 301,CL 151 C  117-56 Apto 301,"6900873","3105559615",SUBA COMPARTIR,estrellasdecompartir@hotmail.com,"35",Futbol,UPZ27,SUBA,SUBA,"11"
"220","220",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO ATLETICO COLOMBIA FUTBOL CLUB,A,Calle 13 No 79C - 11 Torre 6 Apartamento 507,CL 13  79C - 11 Torre 6 Apartamento 507,"3916083","3108599397",VISIÓN DE COLOMBIA,profehectorlugo@hotmail.es,"35",Futbol,UPZ46,CASTILLA,KENNEDY,"08"
"221","221",Fontibón,Deportiva,Clubes,"CLUB DEPORTIVO LEOPARDOS NEWELL'S,FC",A,Carrera 118 No.89b-51 apto 403 int 6,KR 118  89b-51 apto 403 int 6,"2377987","3173783106",N.D.,leopardosfutbolclub1@yahoo.es,"35",Futbol,UPZ72,BOLIVIA,ENGATIVA,"10"
"222","222",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO SICOOPWEB,A,Calle 25 No. 31A - 47 Oficina 101,CL 25   31A - 47 Oficina 101,"3685752","3105880638",GRAN AMERICA,torneosajedrez@hotmail.com,"3",Ajedrez,UPZ107,QUINTA PAREDES,TEUSAQUILLO,"13"
"223","223",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO EASYKART COLOMBIA,I,Calle 77 No 27A 26,CL 77  27A 26,"4543179",N.D.,SANTA SOFIA,NA,"1",Actividades Subacuaticas,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"224","224",La Candelaria,Deportiva,Clubes,CLUB DEPORTIVO NACIONAL DE ELECTRICOS,A,Calle 15 No. 12-56,CL 15   12-56,"3341052","3112754993",LA CAUCHINA,clubdeportivone2@nalelectricos.com.co,"35",Futbol,UPZ93,LAS NIEVES,SANTA FE,"03"
"225","225",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO CEIF FUTBOL CLUB,A,Calle 12C N 71C 31 Apto 303 Torre 3,CL 12C N 71C 31 Apto 303 Torre 3,"8640523","3112103606",VILLA ALSACIA,"direcciondeportiva@ceiffc,com","35",Futbol,UPZ113,BAVARIA,KENNEDY,"08"
"226","226",San Cristóbal,Deportiva,Clubes,CLUB DEPORTIVO DE TENIS PRO TENIS,I,Carrera 15 No.98-26 of 302,KR 15  98-26 of 302,"6113502",N.D.,N.D.,clubdetenisprotenis@gmail.com,"1",Actividades Subacuaticas,UPZ97,CHICO LAGO,CHAPINERO,"02"
"227","227",Suba,Deportiva,Clubes,CLUB DEPORTIVO TC 2000 COLOMBIA,A,Avenida Calle 134 No. 55-30 Mezanine 1,AV CL 134   55-30 Mezanine 1,"6137639","3133947285",SAN RAFAEL NORTE,inscripciones@tc2000colombia.com,"9",Automovilismo,UPZ24,NIZA,SUBA,"11"
"228","228",La Candelaria,Deportiva,Clubes,CLUB DEPORTIVO MASTER ALVARO MEJIA,I,Carrera 5 No 6 51 Int 5 apto 601,KR 5  6 51 Int 5 apto 601,"2800614",N.D.,NUEVA SANTA FE DE BOGOTA,clubmasteralvaromejia@gmail.com,"1",Actividades Subacuaticas,UPZ94,LA CANDELARIA,CANDELARIA,"17"
"229","229",Bosa,Deportiva,Clubes,CLUB DEPORTIVO REAL TINTAL FUTBOL CLUB,I,Calle 6A No.88-20 Int 3 Apto 104,CL 6A  88-20 Int 3 Apto 104,"7405064",N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ79,CALANDAIMA,KENNEDY,"08"
"230","230",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO SALLE GRAN COLOMBIA,I,Av. 68 Calle 63,AV 68  63 - 00,"7033919","3177839556",SALITRE,sallegrancolombia@gmail.com,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"231","231",Teusaquillo,Deportiva,Clubes,CLUB GUERREROS DE BOGOTA,A,Calle 33 No.17-51,CL 33  17-51,"8136487","3004544967",TEUSAQUILLO,clubguerrerosdebogota@hotmail.com,"12",Baloncesto,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"232","232",Suba,Deportiva,Clubes,CLUB DEPORTIVO DI LEX,A,Carrera 55 No 173 38,KR 55  173 38,"7594064","3214995335",VILLA DEL PRADO,clubdilex@gmail.com,"35",Futbol,UPZ17,SAN JOSE DE BAVARIA,SUBA,"11"
"233","233",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO GOL STAR,A,Calle 105 No.15-67 Apto 203,CL 105  15-67 Apto 203,"6126780","3173138426",N.D.,golstarfragua@gmail.com,"35",Futbol,UPZ16,SANTA BARBARA,USAQUEN,"01"
"234","234",San Cristóbal,Deportiva,Clubes,CLUB DEPORTIVO VILLA LEON FUTBOL CLUB,A,Carrera 6 No 8A 35 Sur Int 3 Apto 202,KR 6  8A 35 Sur Int 3 Apto 202,"7022443","3108658036",VILLA JAVIER,tomasfelipemolano@gmail.com,"35",Futbol,UPZ33,SOSIEGO,SAN CRISTOBAL,"04"
"235","235",Engativá,Deportiva,Clubes,CLUB DEPORTIVO SC FUTSAL,A,Carrera 72B No 48 98,KR 72B  48 98,"5496843","3123055603",NORMADIA OCCIDENTAL,csfutsal@hotmail.com,"37",Futbol Sala,UPZ31,SANTA CECILIA,ENGATIVA,"10"
"236","236",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO TRIUMPH RACING TEAM,A,Calle 127 No.7C-09,CL 127  7C-09,"7022099","3208065345",N.D.,ar@triumphcolombia.com,"54",Motociclismo,UPZ14,USAQUEN,USAQUEN,"01"
"237","237",Teusaquillo,Deportiva,Otros,CLUB DIVISION BOGOTANA DE FUTBOL DIBOGOTANA,A,Carrera 15 No.31B-09,KR 15  31B-09,"2875701","3104342855",N.D.,dibogotanadefutbol@hotmail.com,"35",Futbol,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"238","238",Suba,Deportiva,Clubes,CLUB ATLETICO DEPORTIVO SENIOR MASTER EDAD DORADA,A,Calle 149 No.50-37 Apto 701 B,CL 149  50-37 Apto 701 B,"4859175","3008890180",N.D.,nelsypolo@gmail.com,"6",Atletismo,UPZ19,EL PRADO,SUBA,"11"
"239","239",Rafael Uribe Uribe,Deportiva,Clubes,CLUB CORPORACION SOCIAL Y DEPORTIVA ODESUR,A,Calle 27 Sur No. 24 A 15,CL 27 Sur   24 A 15,"3662818","3108669842",OLAYA,moralesport@yahoo.com,"56",Multidisciplinas,UPZ39,QUIROGA,RAFAEL URIBE URIBE,"18"
"240","240",Santa Fe,Deportiva,Ligas,LIGA DE JIUJITSU DE BOGOTA DC,A,Carrera 5 No.27-71,KR 5  27-71,"2244718","3133632956",N.D.,jiujitsubogota@hotmail.com,"43",Jiujitsu,UPZ91,SAGRADO CORAZON,SANTA FE,"03"
"241","241",Chapinero,Deportiva,Asociaciones,ASOCIACION CLUB DEPORTIVO KART CLUB DE LA SABANA,A,Carrera 15 No.104-30 Oficina 511,KR 15  104-30 Oficina 511,"8052918","3107770611",N.D.,clubsmr@gmail.com,"46",Karts,UPZ16,SANTA BARBARA,USAQUEN,"01"
"242","242",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO DE NAUTILIUS,A,Carrera 17 No.30-39,KR 17  30-39,"7032707","3153481614",N.D.,clubnautiliusbog@gmail.com,"58",Natación,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"243","243",Engativá,Deportiva,Clubes,CLUB DEPORTIVO BREMEN,A,Calle 63 D No.70 B-39,CL 63 D  70 B-39,"4370568","3153063333",N.D.,escuelafutbolbremen@yahoo.es,"35",Futbol,UPZ26,LAS FERIAS,ENGATIVA,"10"
"244","244",Rafael Uribe Uribe,Deportiva,Clubes,CLUB DEPORTIVO PADRE ALIRIO,A,Calle 11 A No.78D-56 Int 3 Oficina 1012,CL 11 A  78D-56 Int 3 Oficina 1012,"4714744","3115236950",N.D.,NA,"35",Futbol,UPZ46,CASTILLA,KENNEDY,"08"
"245","245",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO TEQUENDAMA,A,Carrera 54A No.76-46 Int 4 Apto 513,KR 54A  76-46 Int 4 Apto 513,"2255351",N.D.,N.D.,dorisaliciacosta@hotmail.com,"63",Patinaje,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"246","246",Rafael Uribe Uribe,Deportiva,Clubes,CLUB DEPORTIVO SQUASH CENTER,I,Carrera 40B No.56B-27,KR 40B  56B-27,"2210306",N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ106,LA ESMERALDA,TEUSAQUILLO,"13"
"247","247",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO DE CLAVADOS Y NATACION REAL CAPITAL,I,Calle 4 F No.53C-14,CL 4 F  53C-14,"5636131",N.D.,GALAN,NA,"1",Actividades Subacuaticas,UPZ43,SAN RAFAEL,PUENTE ARANDA,"16"
"248","248",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO ZEPPELIN RUGBY CLUB - ZRC,A,Carrera 31D No.1C-91,KR 31D  1C-91,"3700220","3114853399",N.D.,zeppelinrc@gmail.com,"68",Rugby,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"249","249",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO SPORT TEAM CLUB,A,Calle 146 No.15-50 Apto 304,CL 146  15-50 Apto 304,"4754541","3114559852",N.D.,sportteamclub@gmail.com,"35",Futbol,UPZ13,LOS CEDROS,USAQUEN,"01"
"250","250",Suba,Deportiva,Clubes,NUEVO TAYRONAS CLUB DE BALONCESTO,I,Carrera 100 No.148-57 Int 15 Apto 503,KR 100  148-57 Int 15 Apto 503,"4331133","3014603804",N.D.,baloncestotayronas@gmail.com,"1",Actividades Subacuaticas,UPZ27,SUBA,SUBA,"11"
"251","251",Santa Fe,Deportiva,Clubes,CLUB DEPORTIVO CARNEROS ANDES RUGBY FOOTBALL CLUB,A,Carrera 3 A No.30A-68 Apto 402,KR 3 A  30A-68 Apto 402,"6116688","3123511368",LA PERSEVERANCIA,admin@carnerosrugby.com.co,"68",Rugby,UPZ92,LA MACARENA,SANTA FE,"03"
"252","252",Puente Aranda,Deportiva,Clubes,CLUB DE CICLISMO ROBERTO OSO SANCHEZ,A,Carrera 51B No.16-21 sur Int 54,KR 51B  16-21 sur Int 54,"4097742","3123577412",SAN EUSEBIO,ososanchez54@hotmail.com,"23",Ciclismo,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"253","253",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO ECOFUTBOL,A,Calle 165 No. 8F - 45,CL 165   8F - 45,"6744831","3212368304",TORCOROMA,ecofutbol@hotmail.com,"35",Futbol,UPZ10,LA URIBE,USAQUEN,"01"
"254","254",Suba,Deportiva,Clubes,CLUB DEPORTIVO CM ASTERI,A,Carrera 59 No. 160 - 92,KR 59   160 - 92,"6728061","3115626775",GILMAR,clubdeportivoasteri@hotmail.com,"35",Futbol,UPZ18,BRITALIA,SUBA,"11"
"255","255",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO COLONIA DC - 1,A,Calle 63 F No. 26 - 05 Piso 2,CL 63 F   26 - 05 Piso 2,"2487916","3134411003",SIETE DE AGOSTO,cdcoloniadc@hotmail.com,"35",Futbol,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"256","256",Fontibón,Deportiva,Clubes,CLUB DEPORTIVO PUMAS DE LA SABANA,A,Calle 23C No.69C-20 Apto 5-903,CL 23C  69C-20 Apto 5-903,"2630642","3002153754",SAUZALITO,pumasbeisbolclub@hotmail.com,"15",Beisbol,UPZ110,CIUDAD SALITRE OCCIDENTAL,FONTIBON,"09"
"257","257",Fontibón,Deportiva,Asociaciones,ASOCIACION COLOMBIANA DE PAINTBALL TACTICO COLPATAC,A,Calle 23 C No.69C-20 Int 4 Apto 702,CL 23 C  69C-20 Int 4 Apto 702,"7587393","3167584833",SAUZALITO,adm.colpatac@gmail.com,"56",Multidisciplinas,UPZ110,CIUDAD SALITRE OCCIDENTAL,FONTIBON,"09"
"258","258",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO COLOMBIANO ENDURO ECUESTRE,A,Carrera 21 A No.83-12,KR 21 A  83-12,"6161695","3132619867",POLO CLUB,enduroncecol@gmail.com,"54",Motociclismo,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"259","259",Engativá,Deportiva,Ligas,LIGA BOGOTANA DE BAILE DEPORTIVO,A,Carrera 69H No.80-40 Torre 10 Apto 403,KR 69H  80-40 Torre 10 Apto 403,"5338257","3142635543",LAS GALIAS,ligabogotanadebailedeportivo@hotmail.com,"11",Baile,UPZ26,LAS FERIAS,ENGATIVA,"10"
"260","260",Chapinero,Deportiva,Asociaciones,"ASOCIACION COLOMBIANA DE ACTIVIDAD FISICA, CULTURA, RECREACION Y ENTRENAMIENTO VIRTUAL - REEVI",A,Calle 58 No. 3A - 55 Oficina 101,CL 58   3A - 55 Oficina 101,"2177080","3004958309",BOSQUE CALDERON,info@reevi.org,"24",Deporte Aficionado,UPZ90,PARDO RUBIO,CHAPINERO,"02"
